account_id,num_logins,num_unique_ips,num_unique_devices,num_unique_countries,num_unique_cities,primary_ip_share,max_implied_speed_kmh,max_concurrent_streams,logins_per_day,ground_truth_label,rule_based_label
acct_000000,24.0,2.0,1.0,1.0,1.0,0.542,0.0,2.0,0.46,Safe,Safe
acct_000001,422.0,131.0,12.0,16.0,20.0,0.118,1000465.4,11.0,7.12,Abusive,Abusive
acct_000002,94.0,12.0,5.0,9.0,10.0,0.404,345972.0,5.0,1.58,Potential Abuse,Abusive
acct_000003,109.0,11.0,5.0,6.0,7.0,0.404,551775.2,3.0,1.84,Potential Abuse,Potential Abuse
acct_000004,72.0,10.0,5.0,7.0,7.0,0.389,678591.7,3.0,1.22,Potential Abuse,Potential Abuse
acct_000005,66.0,2.0,3.0,1.0,1.0,0.5,0.0,2.0,1.15,Safe,Safe
acct_000006,72.0,2.0,1.0,2.0,2.0,0.986,2525.5,2.0,1.25,Safe,Potential Abuse
acct_000007,105.0,10.0,6.0,8.0,9.0,0.524,67971.5,3.0,1.8,Potential Abuse,Abusive
acct_000008,35.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.66,Safe,Safe
acct_000009,51.0,6.0,5.0,4.0,4.0,0.392,3521.8,3.0,0.88,Potential Abuse,Potential Abuse
acct_000010,80.0,3.0,1.0,3.0,3.0,0.975,4067.1,2.0,1.35,Safe,Potential Abuse
acct_000011,174.0,50.0,15.0,14.0,17.0,0.195,983647.9,11.0,2.99,Abusive,Abusive
acct_000012,41.0,4.0,2.0,4.0,4.0,0.927,2339.7,2.0,0.73,Safe,Potential Abuse
acct_000013,64.0,3.0,2.0,2.0,2.0,0.562,2457.0,2.0,1.11,Safe,Potential Abuse
acct_000014,89.0,11.0,5.0,8.0,8.0,0.528,103490.2,3.0,1.51,Potential Abuse,Abusive
acct_000015,73.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.24,Safe,Safe
acct_000016,75.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.27,Safe,Safe
acct_000017,64.0,3.0,2.0,2.0,2.0,0.625,251.1,2.0,1.13,Safe,Potential Abuse
acct_000018,119.0,10.0,5.0,7.0,7.0,0.286,177374.1,4.0,2.06,Potential Abuse,Potential Abuse
acct_000019,48.0,1.0,1.0,1.0,1.0,1.0,0.0,2.0,0.9,Safe,Safe
acct_000020,69.0,5.0,5.0,4.0,5.0,0.478,163565.8,4.0,1.2,Potential Abuse,Potential Abuse
acct_000021,48.0,3.0,1.0,2.0,2.0,0.521,680.0,2.0,0.86,Safe,Potential Abuse
acct_000022,104.0,12.0,6.0,8.0,10.0,0.452,534931.6,5.0,1.78,Potential Abuse,Abusive
acct_000023,53.0,8.0,5.0,7.0,7.0,0.358,201739.9,3.0,0.91,Potential Abuse,Potential Abuse
acct_000024,24.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.4,Safe,Safe
acct_000025,49.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,0.82,Safe,Safe
acct_000026,72.0,3.0,3.0,3.0,3.0,0.972,1652.1,2.0,1.21,Safe,Potential Abuse
acct_000027,24.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,0.42,Safe,Safe
